Faculty,Year,Count
Mathematics,2012,2
Mathematics,2013,2
Mathematics,2014,1
Mathematics,2015,0
Mathematics,2016,1
Mathematics,2017,2
Mathematics,2018,0
Mathematics,2019,5
Mathematics,2020,3
Mathematics,2021,2
Mathematics,2022,2
Mathematics,2023,5
Mathematics,2024,0
Statistics,2000,0
Statistics,2001,0
Statistics,2002,0
Statistics,2003,0
Statistics,2004,0
Statistics,2005,0
Statistics,2006,0
Statistics,2007,0
Statistics,2008,0
Statistics,2009,1
Statistics,2010,0
Statistics,2011,0
Statistics,2012,1
Statistics,2013,0
Statistics,2014,0
Statistics,2015,1
Statistics,2016,0
Statistics,2017,0
Statistics,2018,0
Statistics,2019,1
Statistics,2020,0
Statistics,2021,0
Statistics,2022,2
Statistics,2023,1
Statistics,2024,0
"Institute for Resources, Environment and Sustainability",2000,0
"Institute for Resources, Environment and Sustainability",2001,1
"Institute for Resources, Environment and Sustainability",2002,0
"Institute for Resources, Environment and Sustainability",2003,0
"Institute for Resources, Environment and Sustainability",2004,0
"Institute for Resources, Environment and Sustainability",2005,0
"Institute for Resources, Environment and Sustainability",2006,0
"Institute for Resources, Environment and Sustainability",2007,0
"Institute for Resources, Environment and Sustainability",2008,0
"Institute for Resources, Environment and Sustainability",2009,1
"Institute for Resources, Environment and Sustainability",2010,0
"Institute for Resources, Environment and Sustainability",2011,0
"Institute for Resources, Environment and Sustainability",2012,0
"Institute for Resources, Environment and Sustainability",2013,0
"Institute for Resources, Environment and Sustainability",2014,0
"Institute for Resources, Environment and Sustainability",2015,0
"Institute for Resources, Environment and Sustainability",2016,0
"Institute for Resources, Environment and Sustainability",2017,1
"Institute for Resources, Environment and Sustainability",2018,0
"Institute for Resources, Environment and Sustainability",2019,1
"Institute for Resources, Environment and Sustainability",2020,0
"Institute for Resources, Environment and Sustainability",2021,0
"Institute for Resources, Environment and Sustainability",2022,3
"Institute for Resources, Environment and Sustainability",2023,2
"Institute for Resources, Environment and Sustainability",2024,0
Data Science,2000,0
Data Science,2001,0
Data Science,2002,0
Data Science,2003,0
Data Science,2004,0
Data Science,2005,0
Data Science,2006,0
Data Science,2007,0
Data Science,2008,0
Data Science,2009,0
Data Science,2010,0
Data Science,2011,0
Data Science,2012,0
Data Science,2013,0
Data Science,2014,0
Data Science,2015,0
Data Science,2016,0
Data Science,2017,0
Data Science,2018,0
Data Science,2019,0
Data Science,2020,0
Data Science,2021,1
Data Science,2022,2
Data Science,2023,0
Data Science,2024,0
Geoscience,2000,0
Geoscience,2001,0
Geoscience,2002,0
Geoscience,2003,0
Geoscience,2004,0
Geoscience,2005,0
Geoscience,2006,0
Geoscience,2007,0
Geoscience,2008,0
Geoscience,2009,0
Geoscience,2010,0
Geoscience,2011,0
Geoscience,2012,0
Geoscience,2013,0
Geoscience,2014,0
Geoscience,2015,0
Geoscience,2016,0
Geoscience,2017,0
Geoscience,2018,0
Geoscience,2019,0
Geoscience,2020,0
Geoscience,2021,0
Geoscience,2022,1
Geoscience,2023,0
Geoscience,2024,0
Institute for Oceans and Fisheries,2000,0
Institute for Oceans and Fisheries,2001,0
Institute for Oceans and Fisheries,2002,0
Institute for Oceans and Fisheries,2003,0
Institute for Oceans and Fisheries,2004,0
Institute for Oceans and Fisheries,2005,0
Institute for Oceans and Fisheries,2006,0
Institute for Oceans and Fisheries,2007,0
Institute for Oceans and Fisheries,2008,0
Institute for Oceans and Fisheries,2009,0
Institute for Oceans and Fisheries,2010,0
Institute for Oceans and Fisheries,2011,0
Institute for Oceans and Fisheries,2012,0
Institute for Oceans and Fisheries,2013,0
Institute for Oceans and Fisheries,2014,0
Institute for Oceans and Fisheries,2015,0
Institute for Oceans and Fisheries,2016,0
Institute for Oceans and Fisheries,2017,0
Institute for Oceans and Fisheries,2018,0
Institute for Oceans and Fisheries,2019,0
Institute for Oceans and Fisheries,2020,1
Institute for Oceans and Fisheries,2021,0
Institute for Oceans and Fisheries,2022,0
Institute for Oceans and Fisheries,2023,0
Institute for Oceans and Fisheries,2024,0
