Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
48QG7LC8,journalArticle,2004,"Milner-Bolotin, Marina",Tips for Using a Peer Response System in a Large Introductory Physics Class,The Physics Teacher,nan,0031-921X,10111911696604,nan,"Teaching a large introductory physics course can be a challenge for a young physics instructor, and making a large physics lecture interactive may seem almost impossible The most difficult part about the large class is that due to its size there is very little real-time interaction between the students and the lecturer The instructor often does not know how well the students understand the lecture or how actively they are involved in it The lack of real-time communication might make it very difficult and misleading for both the students and the instructor Fortunately, recently we witnessed the proliferation of technological tools that can help the instructor get instantaneous feedback during the lecture One of these tools is the peer response system PRS1",2004,2024-01-25 221414,2024-02-02 235322,nan,253-254,nan,4,420,nan,nan,nan,nan,nan,nan,nan,nan,nan,English,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Introductory Courses; Teaching Practices; Peer Teaching,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
G8T5M6H5,conferencePaper,2019,"Vermette, Laton; McGrenere, Joanna; Birge, Colin; Kelly, Adam; Chilana, Parmit K",Freedom to Personalize My Digital Classroom Understanding Teachers' Practices and Motivations,CHI 2019 PROCEEDINGS OF THE 2019 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,978-1-4503-5970-2,nan,10114532906053300548,httpswwwwebofsciencecomapigatewayGWVersion2SrcAuthDynamicDOIConfProcSrcAppWOSKeyAID1011452F32906053300548DestAppDOISrcAppSIDUSW2EC0BC17Dv2hsniVHnNk1QlqXUSrcJTitleCHI20193APROCEEDINGSOFTHE2019CHICONFERENCEONHUMANFACTORSINCOMPUTINGSYSTEMSDestDOIRegistrantNameAssociationforComputingMachinery,"Although modern classrooms are increasingly moving towards digital immersion and personalized learning, we have few insights into K-12 teachers' current practices, motivations, and barriers in setting up their digital classroom ecosystems We interviewed 20 teachers on their process of discovering and integrating a vast range of productivity software and educational platforms in their classrooms, with a particular focus on how they personalize the UI and content of these tools eg, with plugins, templates, or option menus We found that teachers largely depended on their own experimentation and professional circles to find, personalize, and troubleshoot software tools to support student needs or their own preferences Teachers were often hesitant to attempt more advanced personalizations due to concerns over student confusion and increased troubleshooting load We derive several design implications for HCI to better support teachers in sharing their personalized setups and helping their students benefit from digital immersion",2019,2024-01-25 221439,2024-02-02 235159,2024-01-17 224936,nan,nan,nan,nan,nan,nan,Freedom to Personalize My Digital Classroom,nan,nan,nan,nan,Assoc Computing Machinery,New York,English,nan,nan,nan,nan,Clarivate Analytics Web of Science,nan,Num Pages 14 Web of Science ID WOS000474467904010,nan,nan,nan,Computer Science; Engagement; Learning Technology; Personalized Learning; Online Teaching,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CHI Conference on Human Factors in Computing Systems CHI,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N4RG7CQU,conferencePaper,2023,"Sien, Sang-Wha; Ahn, Jessica Y; McGrenere, Joanna",Co-designing Mental Health Technologies with International University Students in Canada,Proceedings of the ACM on Human-Computer Interaction,nan,nan,1011453610049,httpsdlacmorgdoi1011453610049,"Mental health problems are a serious concern among university students, and international students in Canada are known to be particularly vulnerable due to the underutilization of mental health services and unfamiliarity with Western approaches to mental health However, international students' mental well-being remains underexplored in HCI In this study, we conducted remote synchronous remote co-design sessions with 19 participants 14 international students, 5 mental health professionals to understand concretely what types of designs for interactive technologies suit these students' mental health needs and challenges Based on their brainstormed ideas and sketches, we produced a set of design dimensions that span different types of support, interaction, and safety The dimensions were then used to develop a set of four medium-fidelity mockups that spanned these dimensions, presenting a diverse range of design features Using these mockups, we elicited feedback in an online survey from the same participants Findings suggest that the students negotiate a complex understanding of helpfulness, comfort, and trust when they consider what types of designs to consider using Each mockup highlights different ways to support individual differences and preferences Our work serves as a foundation for designing technologies that can ease issues with accessibility and be more inclusive of international students' cultural backgrounds",2023-10-04,2024-01-25 221439,2024-04-15 235634,2024-01-19 180148,258125825,nan,nan,70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ACM Digital Library,nan,nan,nan,UsersivancheungZoterostorageW6WLKLKCSien et al - 2023 - Co-designing Mental Health Technologies with Interpdf,nan,Computer Science; Undergraduate Students; International Students; Team Teaching; Wellbeing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IV9Q4689,journalArticle,2023,"Yalçın, Özge Nilay; Lallé, Sébastien; Conati, Cristina",The Impact of Intelligent Pedagogical Agents Interventions on Student Behavior and Performance in Open-Ended Game Design Environments,ACM Transactions on Interactive Intelligent Systems,nan,nan,nan,httpsdlacmorgdoi1011453578523,nan,2023,2024-01-25 221439,2024-04-24 165341,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Publisher ACM New York, NY",nan,UsersivancheungZoterostorageXY3YWLZWYalçın et al - 2023 - The Impact of Intelligent Pedagogical Agents Intepdf,nan,Computational Thinking; Computer Science; Student Attitudes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9YECTUXJ,conferencePaper,2019,"Verbert, Katrien; De Croon, Robin; De Laet, Tinne; Broos, Tom; Millecamp, Martijn; Ochoa, Xavier; Bodily, Robert; Kay, Judy; Drachsler, Hendrik; Conati, Cristina",VISLA Visual Approaches to Learning Analytics,Companion Proceeding of the 9th International Conference on Learning Analytics  Knowledge LAK19,nan,nan,nan,httpsliriaskuleuvenbe2786676,One of the most visible tools used in Learning Analytics is the dashboard These dashboards use a wide range of visualization techniques to explore and understand relevant user traces that are collected in various online environments and to improve human learning The design and evaluation of learning analytics dashboards within the educational practice does not receive enough research attention The goal of our workshop is to build a strong research capacity around visual approaches to learning analytics The longer-term goal is to improve the quality of learning analytics research that relies on information visualization techniques This proposal describes the goal and activities of the VISLA 2019 workshop on Visual Approaches to Learning Analytics,2019-03-05,2024-01-25 221439,2024-02-02 232502,2024-01-05 234909,750-753,nan,nan,nan,nan,nan,VISLA,nan,nan,nan,nan,Solar,nan,nan,nan,nan,nan,nan,liriaskuleuvenbe,nan,nan,nan,UsersivancheungZoterostoragePNIMPCKWVerbert et al - 2019 - VISLA Visual Approaches to Learning Analyticspdf,nan,Computer Science; Multimedia-Based Learning,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"9th International Learning Analytics and Knowledge LAK Conference, Location Tempe, Arizona US",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2K88QTIM,journalArticle,2022,"Khosravi, Hassan; Shum, Simon Buckingham; Chen, Guanliang; Conati, Cristina; Tsai, Yi-Shan; Kay, Judy; Knight, Simon; Martinez-Maldonado, Roberto; Sadiq, Shazia; Gašević, Dragan",Explainable Artificial Intelligence in education,Computers and Education Artificial Intelligence,nan,2666-920X,101016jcaeai2022100074,httpswwwsciencedirectcomsciencearticlepiiS2666920X22000297,"There are emerging concerns about the Fairness, Accountability, Transparency, and Ethics FATE of educational interventions supported by the use of Artificial Intelligence AI algorithms One of the emerging methods for increasing trust in AI systems is to use eXplainable AI XAI, which promotes the use of methods that produce transparent explanations and reasons for decisions AI systems make Considering the existing literature on XAI, this paper argues that XAI in education has commonalities with the broader use of AI but also has distinctive needs Accordingly, we first present a framework, referred to as XAI-ED, that considers six key aspects in relation to explainability for studying, designing and developing educational AI tools These key aspects focus on the stakeholders, benefits, approaches for presenting explanations, widely used classes of AI models, human-centred designs of the AI interfaces and potential pitfalls of providing explanations within education We then present four comprehensive case studies that illustrate the application of XAI-ED in four different educational AI tools The paper concludes by discussing opportunities, challenges and future research needs for the effective incorporation of XAI in education",2022-01-01,2024-01-25 221439,2024-02-02 232413,2024-01-04 185459,100074,nan,nan,30,nan,Computers and Education Artificial Intelligence,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ScienceDirect,nan,nan,nan,UsersivancheungZoterostorage2IDT3XL7Khosravi et al - 2022 - Explainable Artificial Intelligence in educationpdf; UsersivancheungZoterostorage4ZEI4374S2666920X22000297html,nan,Computer Science,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MF2QADNP,conferencePaper,2014,"Kardan, Samad; Roll, Ido; Conati, Cristina",The Usefulness of Log Based Clustering in a Complex Simulation Environment,Intelligent Tutoring Systems,978-3-319-07221-0,nan,101007978-3-319-07221-0_21,nan,"Data mining techniques have been successfully employed on user interaction data in exploratory learning environments In this paper we investigate using data mining techniques for analyzing student behaviors in an especially-complex exploratory environment, with over one hundred possible actions at any given point Furthermore, the outcomes of these actions depend on their context We propose a multi-layer action-events structure to deal with the complexity of the data and employ clustering and rule mining to examine student behaviors in terms of learning performance and effects of different degrees of scaffolding Our findings show that using the proposed multi-layer structure for describing action-events enables the clustering algorithm to effectively identify the successful and unsuccessful students in terms of learning performance across activities in the presence or absence of external scaffolding We also report and discuss the prominent behavior patterns of each group and investigate short term effects of scaffolding",2014,2024-02-02 192324,2024-02-02 232409,nan,168-177,nan,nan,nan,nan,nan,nan,Lecture Notes in Computer Science,nan,nan,nan,Springer International Publishing,Cham,en,nan,nan,nan,nan,Springer Link,nan,nan,nan,nan,nan,Computer Science; Learning Strategies; Student Attitudes; Student Performance; Student Satisfaction,nan,"Trausan-Matu, Stefan; Boyer, Kristy Elizabeth; Crosby, Martha; Panourgia, Kitty",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
UEN9ZHZN,journalArticle,2013,"Conati, Cristina; Jaques, Natasha; Muir, Mary",Understanding Attention to Adaptive Hints in Educational Games An Eye-Tracking Study,International Journal of Artificial Intelligence in Education IOS Press,nan,1560-4292,101007s40593-013-0002-8,httpslinkspringercomarticle101007s40593-013-0002-8,"This paper presents a user study that investigates the factors affecting student attention to user-adaptive hints during interaction with an educational computer game The study focuses on Prime Climb, an educational game designed to provide individualized support for learning number factorization skills in the form of textual hints based on a model of student learning We use eye-tracking data to capture user attention patterns on the game adaptive-hints and present results on how user performance, hint timing, and attitude toward getting help all affect the degree to which students attend to hints We also show that improved attention to hints is a worthwhile goal, at least in Prime Climb, because when they are attended to hints can positively affect a student's performance with the game ABSTRACT FROM AUTHOR",2013,2024-01-25 221414,2024-04-25 180651,nan,136-161,nan,04-Jan,230,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,httpezproxylibraryubccaloginurlhttpsearchebscohostcomloginaspxdirecttruedbeueAN92576822siteehost-livescopesite,Computer Science; Student Satisfaction; Teaching Practices; Teaching Resources Digital Other,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FW8UML3X,journalArticle,2016,"Conati, Cristina",Commentary on 'Toward Computer-Based Support of MetaCognitive Skills a Computational Framework to Coach Self Explanation',International Journal of Artificial Intelligence in Education Springer Science  Business Media BV,nan,1560-4292,101007s40593-015-0074-8,httpslinkspringercomarticle101007s40593-015-0074-8,"This paper is a commentary on 'Toward Computer-Based Support of Meta-Cognitive Skills a Computational Framework to Coach Self-Explanation', by Cristina Conati and Kurt Vanlehn, published in the IJAED in 2000 Conati and VanLehn 2010 This work was one of the first examples of Intelligent Learning Environments ILE that target activities beyond problem solving doing so by providing adaptive support to apply relevant domain independent meta-cognitive skills, as opposed to targeting domain-dependent knowledge We provide an overview of the SE-Coach, the ILE presented in Conati and Vanlehn , in terms of underlying motivation, objectives, appeach and contibutions This overview is followed by a discussion of subsequent developments in research on providing intelligent, student-adaptive support to meta-cognition, as well as of remaining open issues and avenues for future research ABSTRACT FROM AUTHOR",2016,2024-01-25 221414,2024-04-24 175638,nan,183-192,nan,1,260,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,httpezproxylibraryubccaloginurlhttpsearchebscohostcomloginaspxdirecttruedbeueAN113083669siteehost-livescopesite,Computer Science,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5HUNDN2H,journalArticle,2009,"Amershi, Saleema; Conati, Cristina",Combining Unsupervised and Supervised Classification to Build User Models for Exploratory Learning Environments,Journal of Educational Data Mining,nan,2157-2100,nan,nan,"In this paper, we present a data-based user modeling framework that uses both unsupervised and supervised classification to build student models for exploratory learning environments We apply the framework to build student models for two different learning environments and using two different data sources logged interface and eye-tracking data Despite limitations due to the size of our datasets, we provide initial evidence that the framework can automatically identify meaningful student interaction behaviors and can be used to build user models for the online classification of new student behaviors online We also show framework transferability across applications and data types",2009,2024-01-25 221414,2024-02-02 232331,nan,18-71,nan,1,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,httpsearchebscohostcomloginaspxdirecttruedbericANEJ1115369siteehost-livescopesite,Computer Science,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IHEW9TAP,conferencePaper,2015,"Holmes, N G; Wieman, Carl E; Bonn, D A",Teaching critical thinking,Proceedings of the National Academy of Sciences of the United States of America,nan,nan,101073pnas1505329112,nan,"The ability to make decisions based on data, with its inherent uncertainties and variability, is a complex and vital skill in the modern world The need for such quantitative critical thinking occurs in many different contexts, and although it is an important goal of education, that goal is seldom being achieved We argue that the key element for developing this ability is repeated practice in making decisions based on data, with feedback on those decisions We demonstrate a structure for providing suitable practice that can be applied in any instructional setting that involves the acquisition of data and relating that data to scientific models This study reports the results of applying that structure in an introductory physics laboratory course Students in an experimental condition were repeatedly instructed to make and act on quantitative comparisons between datasets, and between data and models, an approach that is common to all science disciplines These instructions were slowly faded across the course After the instructions had been removed, students in the experimental condition were 12 times more likely to spontaneously propose or make changes to improve their experimental methods than a control group, who performed traditional experimental activities The students in the experimental condition were also four times more likely to identify and explain a limitation of a physical model using their data Students in the experimental condition also showed much more sophisticated reasoning about their data These differences between the groups were seen to persist into a subsequent course taken the following year; The ability to make decisions based on data, with its inherent uncertainties and variability, is a complex and vital skill in the modern world The need for such quantitative critical thinking occurs in many different contexts, and while it is an important goal of education, that goal is seldom being achieved We argue that the key element for developing this ability is repeated practice in making decisions based on data, with feedback on those decisions We demonstrate a structure for providing suitable practice that can be applied in any instructional setting that involves the acquisition of data and relating that data to scientific models This study reports the results of applying that structure in an introductory physics lab course Students in an experimental condition were repeatedly instructed to make and act on quantitative comparisons between datasets, and between data and models, an approach that is common to all science disciplines These instructions were slowly faded across the course After the instructions had been removed, students in the experimental condition were 12 times more likely to spontaneously propose or make changes to improve their experimental methods than a control group, who performed traditional experimental activities They were also four times more likely to identify and explain a limitation of a physical model using their data Students in the experimental condition also showed much more sophisticated reasoning about their data These differences between the groups were seen to persist into a subsequent course taken the following year; critical thinking  scientific reasoning  scientific teaching  teaching experimentation  undergraduate education; Understanding and thinking critically about scientific evidence is a crucial skill in the modern world We present a simple learning framework that employs cycles of decisions about making and acting on quantitative comparisons between datasets or data and models With opportunities to improve the data or models, this structure is appropriate for use in any data-driven science-learning setting This structure led to significant and sustained improvement in students' critical thinking behaviors, compared with a control group, with effects far beyond that of statistical significance The ability to make decisions based on data, with its inherent uncertainties and variability, is a complex and vital skill in the modern world The need for such quantitative critical thinking occurs in many different contexts, and although it is an important goal of education, that goal is seldom being achieved We argue that the key element for developing this ability is repeated practice in making decisions based on data, with feedback on those decisions We demonstrate a structure for providing suitable practice that can be applied in any instructional setting that involves the acquisition of data and relating that data to scientific models This study reports the results of applying that structure in an introductory physics laboratory course Students in an experimental condition were repeatedly instructed to make and act on quantitative comparisons between datasets, and between data and models, an approach that is common to all science disciplines These instructions were slowly faded across the course After the instructions had been removed, students in the experimental condition were 12 times more likely to spontaneously propose or make changes to improve their experimental methods than a control group, who performed traditional experimental activities The students in the experimental condition were also four times more likely to identify and explain a limitation of a physical model using their data Students in the experimental condition also showed much more sophisticated reasoning about their data These differences between the groups were seen to persist into a subsequent course taken the following year",2015,2024-01-25 221414,2024-04-16 163930,nan,11199-11204,nan,nan,1120,nan,nan,nan,nan,nan,nan,nan,nan,nan,English,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Introductory Courses; Critical Thinking; Lab Course; Student Satisfaction,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83J643MR,journalArticle,2014,"Code, Warren; Piccolo, Costanza; Kohler, David; MacLean, Mark",Teaching methods comparison in a large calculus class,ZDM,nan,1863-9690,nan,httpslinkspringercomarticle101007s11858-014-0582-2,"We report findings from a classroom experiment in which each of two sections of the same Calculus 1 course at a North American research-focused university were subject to an intervention week, each for a different topic, during which a less-experienced instructor encouraged a much higher level of student engagement, promoted active learning answering clicker questions, small-group discussions, worksheets during a significant portion of class time and built on assigned pre-class tasks The lesson content and analysis of the assessments were informed by existing research on student learning of mathematics and student interviews, though the interventions and assessments were also intended to be compatible with typical course practices in an attempt to appeal to practitioners less familiar with the literature Our study provides an example of active learning pedagogy including materials and assessment used for students at this level of mathematics in a classroom of over one hundred students, and we report improved student performanceon conceptual items in particularwith a switching replication in that each section outperformed the other on the topic for which it received the intervention",2014,2024-01-25 221414,2024-04-25 181052,nan,589-601,nan,4,460,nan,nan,nan,nan,nan,nan,nan,nan,nan,English,nan,nan,nan,nan,nan,nan,nan,nan,UsersivancheungZoterostorage8HBPBNJDCode et al - 2014 - Teaching methods comparison in a large calculus clpdf,nan,Introductory Courses; Mathematics; Science Centre for Learning and Teaching Skylight; Teaching Practices,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NBDEDZLR,journalArticle,2020,"Raby, G; Chapman, J M; De Bruijn, R; Eliason, E J; Elvidge, C K; Hasler, C T; Madliger, C L; Nyboer, E A; Reid, A J; Roche, D G; Rytwinski, T; Ward, T D; Wilson, Alexander; Cooke, S J",Teaching Post-Secondary Students in Ecology and Evolution Strategies for Early-Career Researchers,nan,nan,1918-3178,1024908iee2020133e,httpspearlplymouthacukhandle10026118891,"Teaching can be a rewarding, yet challenging, experience for early career researchers ECRs in fields like ecology and evolution Much of this challenge arises from the reality that ECRs in ecology and evolution typically receive little, if any, pedagogical training or advice on how to balance teaching, research which can include extended field work, and other demands on their time Here, we aim to provide accessible, pragmatic advice for ECRs in ecology and evolution who are given the opportunity to teach as instructor of record The advice is based on the authors collective experiences teaching in ecology and evolution as ECRs and is meant to help ECRs address two challenges a balancing the demands of teaching against ones research, service, and personal life, and b being effective in the classroom while doing so The guidance we provide includes practical steps to take when teaching for the first time, including carefully refining the syllabus course planning, adopting non-traditional teaching methods, and taking advantage of free teaching resources We also discuss a range of soft skills to consider including guarding against imposter syndrome ie, self-doubt and fear of being exposed as a fraud, managing expectations, being empathetic, compassionate, authentic, and fostering an inclusive classroom Lastly, we emphasize the need to focus on developing students critical thinking skills, integrating research and teaching where possible, and setting limits on class preparation time to maintain balance with your research and personal life Collectively, we hope the examples provided herein offer a useful guide to ECRs new to teaching",2020-03-23,2024-01-25 221439,2024-02-02 222053,2023-12-09 005937,nan,nan,nan,nan,nan,nan,Teaching Post-Secondary Students in Ecology and Evolution,nan,nan,nan,nan,nan,nan,en,2022-3-8,nan,nan,nan,pearlplymouthacuk,nan,Accepted 2022-03-07T103727Z Publisher Queen's University,nan,UsersivancheungZoterostorageDJX2A9LRRaby et al - 2020 - Teaching post-secondary students in ecology and evpdf,nan,Biology; Teaching Practices; Professional Development; Institute for Oceans and Fisheries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Y8ED58KW,conferencePaper,2015,"Dewji, Nafeesa; Wolfman, Steven; Herman, Geoffrey; Porter, Leo; Taylor, Cynthia; Vahrenhold, Jan",The CS Concept Inventory Quiz Show,Proceedings of the 46th ACM Technical Symposium on computer science education,nan,nan,10114526767232677315,nan,"This session is a chance for researchers studying concept inventories CIs--low-cost assessments highlighting student misconceptions in a field--and CS education practitioners to communicate about advances in concept inventories in an engaging and utterly ridiculous way We use a quiz show format to present CI items from various authors' work across the computing curriculum On each question, audience members and volunteer contestants consider their own response and guess students' common responses Then, they see how authentic student data illustrate the misconceptions these items probe The session's goal is three-fold educate practitioners about recent results in concept inventory research that may suggest surprising trends in student learning, popularize concept inventories as a tool in research and practice, and collect the audience's expert responses to concept inventory items",2015,2024-01-25 221414,2024-04-16 164005,nan,669-670,nan,nan,00,nan,nan,nan,nan,nan,nan,nan,nan,nan,English,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Computer Science; Concept Inventory; Misconceptions; Student Performance; Alternative Assessment,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2Y5X8T6G,journalArticle,2014,"Wolfman, Steven A",Concept Inventories,Computer Science Education,nan,0899-3408,101080089934082014971595,nan,nan,2014,2024-01-25 221414,2024-02-02 214409,nan,249,nan,4,240,nan,nan,nan,nan,nan,nan,nan,nan,nan,English,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Computer Science,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
J3DJ97YV,journalArticle,2016,"Rieger, G W; Reinsberg, S A; Wieman, C E",Comment on Benefits of completing homework for students with different aptitudes in an introductory electricity and magnetism course,PHYSICAL REVIEW PHYSICS EDUCATION RESEARCH,nan,2469-9896,101103PhysRevPhysEducRes12028001,nan,"We present a comment on ÄúBenefits of completing homework for students with different aptitudes in an introductory electricity and magnetism courseÄù, by FÄâJ Kontur, K de La Harpe, and NÄâB Terry PRST-PER 11, 010105 2015 Our data show that the conclusions Kontur and coworkers draw from their data may not be generally applicable; We present a comment on Benefits of completing homework for students with different aptitudes in an introductory electricity and magnetism course, by F J Kontur, K de La Harpe, and N B Terry PRST-PER 11, 010105 2015 Our data show that the conclusions Kontur and coworkers draw from their data may not be generally applicable",2016,2024-01-25 221414,2024-02-02 213122,nan,28001,nan,2,120,nan,nan,nan,nan,nan,nan,nan,nan,nan,English,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Physics and Astronomy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SCFRTDNY,conferencePaper,2020,"Ives, Joss; Stang, Jared B",Using cueing from question pairs to engage students in reflective thinking An exploratory study,2019 Physics Education Research Conference Proceedings,nan,nan,101119perc2019prIves,httpswwwcompadreorgperitemsdetailcfmID15283,nan,2020-01-13,2024-01-25 221439,2024-02-02 211943,2023-12-20 214226,nan,nan,nan,nan,nan,nan,Using cueing from question pairs to engage students in reflective thinking,nan,nan,nan,nan,American Association of Physics Teachers,"Provo, UT",en,nan,nan,nan,nan,DOIorg Crossref,nan,nan,nan,UsersivancheungZoterostorageJELCV69NIves and Stang - 2020 - Using cueing from question pairs to engage studentpdf,nan,Introductory Courses; Assessment; Physics and Astronomy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2019 Physics Education Research Conference,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MQDD8D4A,conferencePaper,2014,"Holmes, Natasha; Ives, Joss; Bonn, Doug",The Impact of Targeted Learning Goals on Student Attitudes about Experimental Physics,nan,nan,nan,nan,nan,nan,2014,2024-01-25 221414,2024-04-25 163119,nan,nan,nan,nan,00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,httpwwwcwseiubccaSEI_researchfilesPhysicsHolmes_LearningGoalsImpact_poster_PERC14pdf,Student Attitudes; Physics and Astronomy; Learning Goals; Poster,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Physics Education Research Conference PERC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
